ID,Incident Number,Arrest Date,Court Number,Case Filed,Status,Suspect Charge List,Case Type
106722,190001762,2019/01/01,19000084,N,Discharge Only,",211,",Felony
106723,190002287,2019/01/01,19000085,Y,Filed,",466,496(A),459,",Felony
106724,190002209,2019/01/01,19000086,N,Discharge Only,",211,14601(A),",Felony
106725,190002174,2019/01/01,19000087,Y,Filed,",273.6(A),417(A)1,243(E)1,",Misdemeanor
106726,190002475,2019/01/01,19000088,N,Other Action,",7.2.12,11351,148.9(A),21310,",Felony
106734,190000413,2019/01/01,19000022,N,Discharge Only,",243(E)1,",Misdemeanor
106808,180830098,2019/01/01,19000017,Y,Filed,",273.5(A),245(A)(4),236,",Felony
106821,190000560,2019/01/01,19000177,Y,Filed,",594(B)1,594(B)1,243(E)1,",Felony
106884,180970456,2019/01/01,19000057,Y,Filed,",459,",Felony
107088,180925961,2019/01/01,19000016,Y,Filed,",459,",Felony
107751,190080164,2019/01/02,19001808,N,Discharge Only,",273.5(A),236,",Felony
107760,190003944,2019/01/02,19001776,N,Discharge Only,",273.6(A),",Misdemeanor
107761,190078595,2019/01/02,19001793,N,Discharge Only,",243(E)1,",Misdemeanor
107771,190079054,2019/01/02,19001765,N,Other Action,",148(A)1,",Misdemeanor
107772,Z20190201-19001766,2019/01/02,19001766,Y,Filed,",23152(B),23152(A),",Misdemeanor
107773,Z20190201-19001768,2019/01/02,19001768,Y,Filed,",23152(A),23152(B),",Misdemeanor
107774,190000148,2019/01/02,19001771,Y,Filed,",23152(A),23152(B),12500(A),",Misdemeanor
107775,190079173,2019/01/02,19001775,Y,Filed,",11351.5,11351,4000(A)1,12500(A),11378,11359(B),11351,",Felony
107776,190079424,2019/01/02,19001783,N,Other Action,",4000(A)1,14601.2(A),",Misdemeanor
107777,190079606,2019/01/02,19001785,Y,Filed,",273.5(A),602(M),490.2(A),166(A)4,",Felony
107778,190979587,2019/01/02,19001786,Y,Filed,",451(D),453(A),",Felony
107779,190979587,2019/01/02,19001787,N,Discharge Only,",11364(A),",Misdemeanor
107780,190079753,2019/01/02,19001790,N,Other Action,",602(M),240,",Misdemeanor
107781,190080001,2019/01/02,19001795,N,Discharge Only,",148(A)1,602.5(A),",Misdemeanor
107782,190080205,2019/01/02,19001798,Y,Filed,",459,466,",Felony
107783,190080619,2019/01/02,19001800,N,Discharge Only,",25620(A),33,11364(A),",Misdemeanor
107784,190080051,2019/01/02,19001801,Y,Filed,",273.5(A),245(A)1,245(A)4,",Felony
107785,190080534,2019/01/02,19001806,N,Other Action,",23123.5A,14601.1(A),",Misdemeanor
107786,190080803,2019/01/02,19001809,Y,Filed,",594B2A,273.6(A),",Misdemeanor
107787,190019840,2019/01/02,19001810,Y,Filed,",453(A),451(B),",Felony
107788,190081021,2019/01/02,19001814,N,Discharge Only,",422,417(A)1,",Felony
107789,190081231,2019/01/02,19001818,Y,Discharge Only,",243(E)1,",Misdemeanor
107790,190081059,2019/01/02,19001819,Y,Filed,",372,653X(A),",Misdemeanor
107791,190000151,2019/01/02,19001822,Y,Filed,",23152(B),23152(A),",Misdemeanor
107797,190081178,2019/01/02,19001832,N,Discharge Only,",245(A)4,182(A)1,422,245(A)1,11364(A),",Felony
107809,190065423,2019/01/02,19001813,Y,Filed,",166(A)4,148(A)1,20001(A),594(B)1,",Felony
107813,190079781,2019/01/02,19001804,Y,Filed,",11364(A),459,11377(A),",Felony
107938,190080697,2019/01/02,19001807,Y,Filed,",417(A)1,422,",Misdemeanor
108618,180818323,2019/01/03,19003371,Y,Filed,",288(A),288(A),288(A),",Felony
108621,190000277,2019/01/03,19003334,Y,Filed,",23152(B),23152(A),",Misdemeanor
108622,190150096,2019/01/03,19003343,N,Discharge Only,",NOTINTBL,10851(A),496D(A),14601.1(A),",Felony
108623,190150234,2019/01/03,19003345,N,Other Action,",245(A)4,245(A)1,",Felony
108624,190150171,2019/01/03,19003347,Y,Filed,",459,496(A),466,459,",Felony
108625,190150234,2019/01/03,19003350,N,Discharge Only,",245(A)1,",Felony
108626,190150466,2019/01/03,19003352,N,Discharge Only,",7.2.12,496(A),",Felony
108627,Z20190301-19003358,2019/01/03,19003358,Y,Filed,",11377(A),496D(A),11364(A),10851(A),",Felony
108628,190150579,2019/01/03,19003361,N,Other Action,",211,422,148.9(A),",Felony
108629,190147394,2019/01/03,19003362,Y,Filed,",148(A)1,273.6(A),",Misdemeanor
108655,190151157,2019/01/03,19003366,Y,Filed,",664/187A,664245A1,",Felony
108656,190150325,2019/01/03,19003367,N,Discharge Only,",273.5(A),245(A)1,",Felony
108657,190151088,2019/01/03,19003370,N,Other Action,",273.6(A),",Misdemeanor
108658,190123043,2019/01/03,19003374,Y,Filed,",273A(A),273A(A),273A(A),269(A)4,288(A),273A(A),273A(A),288.7(B),",Felony
108659,190150808,2019/01/03,19003376,N,Discharge Only,",20001(A),664245A1,21950(A),",Felony
108660,190150604,2019/01/03,19003379,N,Other Action,",10851(A),NOTINTBL,496D(A),",Felony
108661,190151420,2019/01/03,19003382,Y,Filed,",11351,11351,166(A)4,",Felony
108662,Z20190301-19003386,2019/01/03,19003386,N,Discharge Only,",23152(A),",Misdemeanor
108663,110517439,2019/01/03,19003388,Y,Filed,",182(A)1,11352(A),",Felony
108664,190151298,2019/01/03,19003390,N,Other Action,",148(A)1,",Misdemeanor
108665,190151420,2019/01/03,19003391,N,Discharge Only,",12022.1,",Felony
108666,190152149,2019/01/03,19003394,N,Other Action,",30305A1,",Felony
108667,190152155,2019/01/03,19003395,N,Other Action,",166(A)4,",Misdemeanor
108668,190151652,2019/01/03,19003396,Y,Filed,",485,485,496(A),496(A),11364(A),485,485,459,485,496(A),485,",Felony
108669,190152387,2019/01/03,19003400,N,Other Action,",23222(A),11364(A),",Misdemeanor
108670,190152309,2019/01/03,19003402,N,Other Action,",6641085A,",Felony
108671,190152315,2019/01/03,19003403,Y,Filed,",245(A)1,",Felony
108678,190152456,2019/01/03,19003414,N,Discharge Only,",591.5,243(E)1,",Misdemeanor
108679,190151890,2019/01/03,19003415,N,Discharge Only,",242,422,594(B)1,",Felony
108684,190150068,2019/01/03,19003331,N,Discharge Only,",148(A)1,594B2A,",Misdemeanor
108685,190000275,2019/01/03,19003332,Y,Filed,",23152(B),23152(A),",Misdemeanor
108686,190000276,2019/01/03,19003333,Y,Filed,",23152(B),23152(A),",Misdemeanor
108687,190152070,2019/01/03,19003398,N,Discharge Only,",243(E)1,",Misdemeanor
108693,190152428,2019/01/03,19003408,N,Discharge Only,",23222(A),25400A1,26100(A),5200(A),25850(A),",Felony
108709,190152462,2019/01/03,19003401,Y,Filed,",273.5(A),",Felony
108710,190150278,2019/01/03,19003346,Y,Filed,",591.5,273.5(A),",Misdemeanor
108711,190150416,2019/01/03,19003375,N,Discharge Only,",243(E)1,236,243(E)1,",Felony
108772,190150977,2019/01/03,19003383,Y,Filed,",245(A)1,601(A)1,245(A)4,",Felony
108831,190119252,2019/01/03,19003372,Y,Filed,",2800.2A,",Misdemeanor
109111,190156163,2019/01/03,19003570,Y,Filed,",NOTINTBL,",Felony
109136,190000278,2019/01/03,19003344,Y,Filed,",23152(A),23152(B),",Misdemeanor
109595,190151743,2019/01/03,19003387,Y,Filed,",11351.5,11378,11351,166(A)4,182(A)1,11364(A),",Felony
109618,190228665,2019/01/04,19005065,N,Discharge Only,",243(D),",Felony
109619,Z20190401-19005069,2019/01/04,19005069,Y,Filed,",23152(B),23152(A),",Misdemeanor
109620,190228580,2019/01/04,19005071,N,Discharge Only,",243(E)1,273.6(D),",Felony
109621,190230745,2019/01/04,19005110,N,Discharge Only,",11351.5,11351,",Felony
109637,190229237,2019/01/04,19005085,Y,Filed,",245(A)1,273.5(A),591,236,417(A)1,",Felony
109643,Z20190401-19005077,2019/01/04,19005077,N,Other Action,",166(A)4,",Misdemeanor
109644,190228819,2019/01/04,19005078,N,Discharge Only,",243(E)1,417(A)1,",Misdemeanor
109645,190229061,2019/01/04,19005080,Y,Filed,",166(A)4,",Misdemeanor
109646,190229146,2019/01/04,19005093,Y,Filed,",3455(A),273.6(A),12022.1,",Felony
109647,190229641,2019/01/04,19005095,N,Discharge Only,",29800A1,32310(A),496(A),",Felony
109648,190229641,2019/01/04,19005096,N,Discharge Only,",32310(A),496(A),29800A1,",Felony
109649,190229641,2019/01/04,19005097,N,Discharge Only,",32310(A),496(A),29800A1,",Felony
109650,190230002,2019/01/04,19005103,N,Discharge Only,",242,NOTINTBL,",Misdemeanor
109651,190227059,2019/01/04,19005106,Y,Filed,",422,245(A)2,",Felony
109652,190229453,2019/01/04,19005109,N,Other Action,",148(A)1,",Misdemeanor
109653,190230808,2019/01/04,19005112,N,Other Action,",496(A),487(A),",Felony
109654,190230369,2019/01/04,19005113,Y,Filed,",487(A),487(A),459,459,459,",Felony
109655,190219460,2019/01/04,19005115,N,Other Action,",496(A),",Felony
109656,190230723,2019/01/04,19005116,Y,Filed,",11351,11351.5,11378,",Felony
109657,190230654,2019/01/04,19005118,Y,Filed,",487(D)1,12500(A),10851(A),215(A),",Felony
109658,190229481,2019/01/04,19005119,N,Discharge Only,",182(A)1,10851(A),496D,",Felony
109659,190229481,2019/01/04,19005120,N,Discharge Only,",496D,182(A)1,12500(A),10851(A),",Felony
109660,190231072,2019/01/04,19005121,Y,Filed,",594(B)1,",Misdemeanor
109716,190230290,2019/01/04,19005105,Y,Filed,",288.4A1,288.2A2,288.3(A),288.4(B),",Felony
109729,180268659,2019/01/04,19005193,Y,Filed,",459,487(A),487(A),459,459,487(A),459,459,459,459,",Felony
110288,190101362,2019/01/04,19006418,Y,Filed,",459,",Felony
110589,190229174,2019/01/04,19005169,Y,Filed,",166(A)4,",Misdemeanor
110594,Z20190401-19005104,2019/01/04,19005104,Y,Filed,",10851(A),496D,",Felony
110630,190308756,2019/01/05,19006782,Y,Filed,",246.3(A),25400A1,25850(A),3602(B),",Felony
110633,190030529,2019/01/05,19006846,N,Other Action,",11364(A),11377(A),153(A),",Misdemeanor
110642,190311511,2019/01/05,19006876,Y,Filed,",243(C)1,148(A)1,69(A),",Felony
110649,Z20190501-02515929,2019/01/05,2515929,N,Discharge Only,",601(A)2,",Felony
110650,Z20190501-02515930,2019/01/05,2515930,N,Discharge Only,",23153(A),23153(B),",Felony
110651,Z20190501-02515932,2019/01/05,2515932,N,Discharge Only,",166(C)1,166(C)4,",Felony
110652,190308831,2019/01/05,19006784,N,Other Action,",602(M),10852,466,459,12022.1,",Felony
110653,190308916,2019/01/05,19006785,N,Discharge Only,",273.5(A),245(A)4,236,422,",Felony
110654,190272939,2019/01/05,19006787,Y,Filed,",459,487(A),459,594(B)1,496(A),594(B)1,",Felony
110655,Z20190501-19006797,2019/01/05,19006797,N,Other Action,",647(E),11377(A),602(M),496(A),",Felony
110656,190308734,2019/01/05,19006778,N,Discharge Only,",602(O),647(E),",Misdemeanor
110657,Z20190501-19006779,2019/01/05,19006779,Y,Filed,",23152(B),23152(A),",Misdemeanor
110658,190308712,2019/01/05,19006781,N,Discharge Only,",594(B)1,148(A)1,242,",Felony
110659,Z20190501-19006804,2019/01/05,19006804,N,Discharge Only,",11364(A),602(M),",Misdemeanor
110660,190309754,2019/01/05,19006808,N,Other Action,",273.6(A),243(E)1,",Misdemeanor
110661,190309566,2019/01/05,19006810,Y,Filed,",10851(A),NOTINTBL,496D(A),",Felony
110662,190309936,2019/01/05,19006813,N,Other Action,",11377(A),148.9(A),NOTINTBL,",Misdemeanor
110663,190309801,2019/01/05,19006816,N,Other Action,",530.5(A),NOTINTBL,",Felony
110664,190310905,2019/01/05,19006818,Y,Filed,",490.2(A),",Misdemeanor
110665,190310466,2019/01/05,19006820,Y,Filed,",11351,11378,",Felony
110666,190310773,2019/01/05,19006821,Y,Filed,",11378,11351.5,182(A)1,11351,11351,",Felony
110667,190310773,2019/01/05,19006822,Y,Filed,",11378,166(A)4,11351.5,182(A)1,11351,11351,",Felony
110668,190310698,2019/01/05,19006823,Y,Filed,",11351.5,11351,11378,",Felony
110669,190310541,2019/01/05,19006825,N,Discharge Only,",166(A)4,11364(A),",Misdemeanor
110670,190266712,2019/01/05,19006826,Y,Filed,",21810,459,459,466,182(A)1,496(A),",Felony
110671,190310303,2019/01/05,19006828,N,Discharge Only,",236,236,664261A2,459,459,664261A2,243.4(A),646.9(A),243.4(A),",Felony
110672,190050418,2019/01/05,19006829,Y,Filed,",594(B)1,459,",Felony
110673,190310109,2019/01/05,19006830,Y,Filed,",11350(A),148(A)1,",Misdemeanor
110674,190302877,2019/01/05,19006832,N,Other Action,",243(E)1,10851(A),",Felony
110675,190250276,2019/01/05,19006834,Y,Filed,",211,236,",Felony
110676,190238802,2019/01/05,19006836,N,Discharge Only,",245(A)1,591.5,211,",Felony
110714,190311442,2019/01/05,19006848,N,Discharge Only,",422,",Felony
110726,190308897,2019/01/05,19006802,Y,Filed,",485,22810(A),490.2(A),602(M),",Felony
110803,190310773,2019/01/05,19006824,Y,Filed,",182(A)1,11351,11351,11378,11351.5,",Felony
110815,190071345,2019/01/05,19007073,Y,Filed,",459,182(A)2,459,",Felony
111612,190253399,2019/01/05,19006817,Y,Filed,",NOTINTBL,10851(A),NOTINTBL,459,",Felony
111653,Z20190601-19008539,2019/01/06,19008539,Y,Filed,",23152(B),23152(A),",Misdemeanor
111654,190392351,2019/01/06,19008540,Y,Filed,",594(B)1,",Misdemeanor
111655,190392486,2019/01/06,19008542,N,Discharge Only,",11377(A),459,",Misdemeanor
111656,190392464,2019/01/06,19008544,Y,Filed,",25400A1,29800A1,25850(A),",Felony
111657,190392505,2019/01/06,19008545,N,Discharge Only,",243(E)1,",Misdemeanor
111658,190392464,2019/01/06,19008546,N,Discharge Only,",30305A1,25850(A),29800A1,25400A1,",Felony
111659,190392408,2019/01/06,19008547,N,Discharge Only,",NOTINTBL,25850(A),25400A2,25850(A),",Felony
111660,190392408,2019/01/06,19008548,N,Discharge Only,",30305A1,25850(A),29800A1,NOTINTBL,25400A1,25850(A),25400A1,",Felony
111661,190392583,2019/01/06,19008551,N,Other Action,",466,",Misdemeanor
111662,Z20190601-19008559,2019/01/06,19008559,Y,Filed,",215(A),496D(A),",Felony
111663,190393490,2019/01/06,19008564,N,Discharge Only,",422,",Felony
111664,190393917,2019/01/06,19008567,N,Discharge Only,",490.2(A),",Misdemeanor
111665,190394460,2019/01/06,19008570,N,Discharge Only,",166(A)4,",Misdemeanor
111666,190394062,2019/01/06,19008571,N,Discharge Only,",243(E)1,",Misdemeanor
111668,190394658,2019/01/06,19008594,Y,Filed,",243(E)1,273.6(A),273.6(A),273.6(A),422,422,273.6(A),646.9(B),422,",Felony
111681,190311339,2019/01/06,19008614,Y,Filed,",245(A)4,245(A)4,245(A)4,203,245(A)4,664/211,",Felony
111683,190050104,2019/01/06,19008616,N,Discharge Only,",298.1(A),",Misdemeanor
111703,190394147,2019/01/06,19008572,Y,Filed,",594(B)1,182(A)1,417(A)1,487(A),",Felony
111704,190394147,2019/01/06,19008573,Y,Filed,",182(A)1,417(A)1,594(B)1,487(A),",Felony
111705,190394012,2019/01/06,19008575,N,Discharge Only,",459,6641085A,664487D1,",Felony
111706,190393309,2019/01/06,19008576,Y,Filed,",10851(A),12500(A),496D(A),",Felony
111707,190394103,2019/01/06,19008577,Y,Filed,",32310(A),25850(A),25400A1,NOTINTBL,417(A)2,",Misdemeanor
111708,190394200,2019/01/06,19008578,Y,Filed,",245(A)4,",Felony
111709,190394517,2019/01/06,19008583,Y,Filed,",NOTINTBL,10851(A),NOTINTBL,636.5,496D(A),466,",Felony
111710,190392298,2019/01/06,19008584,Y,Filed,",11364(A),211,",Felony
111711,190394670,2019/01/06,19008586,N,Discharge Only,",237(A),",Felony
111712,190394783,2019/01/06,19008588,Y,Filed,",245(A)1,148(A)1,",Felony
111713,190394589,2019/01/06,19008589,N,Discharge Only,",245(A)4,",Felony
111714,190394589,2019/01/06,19008590,N,Discharge Only,",245(A)4,245(A)4,",Felony
111717,190392549,2019/01/06,19008549,N,Discharge Only,",273.5(A),",Felony
111718,190392618,2019/01/06,19008550,N,Discharge Only,",236,273.5(A),",Felony
111825,190394341,2019/01/06,19008581,N,Discharge Only,",242,242,245(A)4,422.7,",Felony
111912,190146443,2019/01/06,19008557,Y,Filed,",11352(A),",Felony
112367,190392630,2019/01/06,19008556,Y,Filed,",459,NOTINTBL,496(A),",Felony
112655,Z20190701-02517008,2019/01/07,2517008,N,Discharge Only,",490.5,487(C),496(A),",Felony
112656,Z20190701-19010220,2019/01/07,19010220,N,Discharge Only,",148(A)1,",Misdemeanor
112657,190474595,2019/01/07,19010221,N,Discharge Only,",243(E)1,591.5,236,591.5,",Felony
112658,190474868,2019/01/07,19010224,N,Other Action,",11364(A),21453(D),",Misdemeanor
112659,190475430,2019/01/07,19010232,N,Other Action,",166(A)4,",Misdemeanor
112660,Z20190701-19010233,2019/01/07,19010233,Y,Filed,",21658(A),23153(A),",Felony
112661,190475446,2019/01/07,19010235,N,Other Action,",10852,602(M),",Misdemeanor
112662,Z20190701-19010247,2019/01/07,19010247,N,Other Action,",11350(A),",Misdemeanor
112663,190475662,2019/01/07,19010251,N,Other Action,",26708.5A,14601.1(A),",Misdemeanor
112664,190475054,2019/01/07,19010255,Y,Filed,",211,",Misdemeanor
112665,190669101,2019/01/07,19010256,N,Other Action,",148(A)1,",Misdemeanor
112666,190238307,2019/01/07,19010259,Y,Filed,",166(A)4,459,NOTINTBL,459,459,487(A),487(A),487(A),NOTINTBL,166(A)4,NOTINTBL,NOTINTBL,NOTINTBL,NOTINTBL,459,487(A),166(A)4,NOTINTBL,166(A)4,166(A)4,166(A)4,166(A)4,487(A),487(A),166(A)4,166(A)4,459,459,",Felony
112667,190476870,2019/01/07,19010261,Y,Filed,",NOTINTBL,490.2(A),",Misdemeanor
112668,190476858,2019/01/07,19010262,N,Discharge Only,",245(A)1,",Felony
112669,190476676,2019/01/07,19010264,N,Discharge Only,",148(A)1,69(A),",Felony
112670,190477226,2019/01/07,19010266,Y,Filed,",487(A),",Felony
112671,190476626,2019/01/07,19010271,Y,Filed,",25400A2,25850(A),29800A1,",Felony
112674,190477254,2019/01/07,19010280,Y,Filed,",11352(A),11352(A),475(A),12022.1B,11375B1,14601.1(A),11352(A),22100(B),",Felony
112676,194744476,2019/01/07,19010218,N,Discharge Only,",243(B),273.5(A),",Felony
112677,Z20190701-19010212,2019/01/07,19010212,Y,Filed,",23152(A),",Misdemeanor
112678,Z20190701-19010213,2019/01/07,19010213,Y,Filed,",23152(A),",Misdemeanor
112679,190474432,2019/01/07,19010215,N,Other Action,",4000(A)1,4462.5,14601.1(A),",Misdemeanor
112750,190476018,2019/01/07,19010283,N,Discharge Only,",496D(A),12500(A),10851(A),",Felony
112751,190477282,2019/01/07,19010284,Y,Filed,",272(A)1,30605(A),496(A),11350(A),11350(A),25850(A),25850(A),1290,32310(A),",Felony
112752,190477282,2019/01/07,19010285,Y,Filed,",21810,11350(A),30305A1,272(A)1,32310(A),11357(B),11350(A),30605(A),11359(B),29800A1,25850(A),1290,",Felony
112754,190474824,2019/01/07,19010288,N,Other Action,",594(B)1,",Felony
112763,Z20190702-19010303,2019/01/07,19010303,Y,Filed,",273.6(A),273.6(A),646.9(A),273.6(A),273.6(A),273.6(A),422,646.9(B),273.6(A),273.6(A),273.6(A),",Felony
113640,190552696,2019/01/08,19011907,Y,Filed,",459,211,459,",Felony
113641,190552696,2019/01/08,19011908,N,Discharge Only,",211,",Felony
113642,190559200,2019/01/08,19011909,N,Discharge Only,",290.011A,",Misdemeanor
113643,Z20190801-02517591,2019/01/08,2517591,N,Discharge Only,",466,484.487A,459.460B,",Felony
113644,Z20190801-02517592,2019/01/08,2517592,N,Discharge Only,",460(B),460(B),",Felony
113645,Z20190801-02517593,2019/01/08,2517593,N,Discharge Only,",459.460B,",Felony
113646,190561095,2019/01/08,19011956,Y,Filed,",166(A)4,11378,11378,11351.5,",Felony
113647,190561352,2019/01/08,19011960,N,Other Action,",11364(A),24252,",Misdemeanor
113648,190251876,2019/01/08,19011961,Y,Filed,",459,",Felony
113649,190560473,2019/01/08,19011966,Y,Filed,",417(A)2,422,29800A1,417(A)2,417(A)2,273A(A),422,32310,273A(A),422,422,417(A)2,273A(A),273A(A),",Felony
113650,190560627,2019/01/08,19011973,N,Discharge Only,",245(A)1,",Felony
113651,190561506,2019/01/08,19011975,N,Discharge Only,",14601.1(A),",Misdemeanor
113652,190328431,2019/01/08,19011976,Y,Filed,",664/187A,245(A)1,243(D),",Felony
113653,190560536,2019/01/08,19011978,Y,Filed,",496(A),459,459,148.9(A),496(A),459,459,496(A),459,182(A)1,466,496(A),496(A),",Felony
113654,190560536,2019/01/08,19011979,Y,Filed,",459,459,182(A)1,496(A),496(A),459,459,496(A),496(A),496(A),459,",Felony
113655,190561750,2019/01/08,19011980,N,Discharge Only,",211,",Felony
113656,190562134,2019/01/08,19011981,N,Discharge Only,",166(A)4,",Misdemeanor
113657,190560536,2019/01/08,19011983,Y,Filed,",496(A),496(A),459,496(A),459,496(A),496(A),459,459,459,182(A)1,466,166(A)4,",Felony
113658,190487952,2019/01/08,19011985,Y,Filed,",664/187A,417(A)2,NOTINTBL,12022.5A,182(A)1,25400A1,664/187A,664/187A,246.3(A),245(A)2,25400A2,664/187A,664/187A,245(A)2,245(A)1,25850(A),25800(A),664/187A,25850(A),245(A)2,245(A)2,245(A)2,245(A)2,",Felony
113659,190487952,2019/01/08,19011987,Y,Filed,",25850(A),664/187A,664/187A,26100(B),245(A)2,245(A)2,182(A)1,245(A)2,25800(A),245(A)2,664/187A,664/187A,246.3(A),25400A1,245(A)1,664/187A,245(A)2,245(A)2,664/187A,",Felony
113663,190562087,2019/01/08,19011994,Y,Filed,",594(B)1,",Misdemeanor
113680,190333242,2019/01/08,19012130,Y,Filed,",4532(B)1,166(A)1,",Felony
113741,190559749,2019/01/08,19012011,Y,Filed,",422,368(B)1,242,245(A)4,290.012A,",Felony
113753,Z20190801-02517599,2019/01/08,2517599,N,Discharge Only,",245(A)1,",Felony
113754,Z20190801-02517603,2019/01/08,2517603,N,Discharge Only,",2800.2A,",Felony
113755,190055795,2019/01/08,19011913,N,Discharge Only,",148(A)1,148(A)1,647(E),148(A)1,",Misdemeanor
113756,Z20190801-19011919,2019/01/08,19011919,N,Discharge Only,",602(K),",Misdemeanor
113757,190559363,2019/01/08,19011920,N,Discharge Only,",602(M),647(A),",Misdemeanor
113758,190550753,2019/01/08,19011921,Y,Filed,",466,148.9(A),459,182(A)1,487(A),",Felony
113759,190559711,2019/01/08,19011922,Y,Filed,",368(C),211,",Felony
113760,190559783,2019/01/08,19011923,N,Other Action,",530.5(A),602.5(A),496(A),",Felony
113761,Z20190801-19011924,2019/01/08,19011924,Y,Filed,",211,211,",Felony
113762,190492412,2019/01/08,19011930,Y,Filed,",459,",Felony
113763,190492412,2019/01/08,19011931,N,Discharge Only,",459,490.5,459,490.5,",Felony
113764,190559272,2019/01/08,19011932,Y,Filed,",451(B),453(A),",Felony
113765,190442257,2019/01/08,19011933,N,Discharge Only,",NOTINTBL,215(A),211,211,",Felony
113766,190442257,2019/01/08,19011934,Y,Filed,",11378,",Felony
113767,190560285,2019/01/08,19011938,Y,Filed,",211,",Felony
113768,190560144,2019/01/08,19011942,N,Other Action,",148(A)1,422,245(A)1,",Felony
113769,190560928,2019/01/08,19011944,N,Discharge Only,",166(A)4,",Misdemeanor
113770,190560235,2019/01/08,19011945,N,Other Action,",496D(A),",Felony
113771,190546031,2019/01/08,19011948,Y,Filed,",602(M),490.2(A),21310,466,",Felony
113772,190560837,2019/01/08,19011950,Y,Filed,",647(E),",Misdemeanor
113773,Z20190801-19011952,2019/01/08,19011952,N,Other Action,",242,",Misdemeanor
113774,190561255,2019/01/08,19011954,N,Other Action,",11364(A),",Misdemeanor
113775,190559125,2019/01/08,19011914,Y,Filed,",273.5(A),245(A)1,",Felony
114727,Z20190901-19013764,2019/01/09,19013764,Y,Filed,",23152(A),23152(B),",Misdemeanor
114728,190648790,2019/01/09,19013765,N,Discharge Only,",23152(A),14601.2(A),23222(A),23154(A),23152(B),14601.2(B),",Misdemeanor
114729,190648994,2019/01/09,19013767,N,Other Action,",653.22A,",Misdemeanor
114730,190648922,2019/01/09,19013768,N,Discharge Only,",459,",Felony
114731,190649174,2019/01/09,19013771,N,Other Action,",5200,14601.1(A),21457(A),148.9(A),",Misdemeanor
114759,190649005,2019/01/09,19013772,N,Other Action,",496D(A),10852,",Felony
114760,190649287,2019/01/09,19013775,Y,Filed,",21310,168(B),21810,",Felony
